SAMPLE_ID,READ1_PATH_FASTQC_REPORT,FASTQC_VERSION,READ1_N_READS_SEQUENCED,READ1_SEQUENCING_READ_LENGTH,READ1_GC,READ1_PER_BASE_SEQUENCE_QUALITY,READ1_PER_TILE_SEQUENCE_QUALITY,READ1_PER_BASE_SEQUENCE_CONTENT,READ1_PER_SEQUENCE_GC_CONTENT,READ1_PER_BASE_N_CONTENT,READ1_SEQUENCE_DUPLICATION_LEVELS,READ1_DEDUPLICATED_PERCENTAGE,READ1_OVERREPRESENTED_SEQUENCES,READ1_ADAPTER_CONTENT,READ1_KMER_CONTENT,READ2_PATH_FASTQC_REPORT,READ2_N_READS_SEQUENCED,READ2_SEQUENCING_READ_LENGTH,READ2_GC,READ2_PER_BASE_SEQUENCE_QUALITY,READ2_PER_TILE_SEQUENCE_QUALITY,READ2_PER_BASE_SEQUENCE_CONTENT,READ2_PER_SEQUENCE_GC_CONTENT,READ2_PER_BASE_N_CONTENT,READ2_SEQUENCE_DUPLICATION_LEVELS,READ2_DEDUPLICATED_PERCENTAGE,READ2_OVERREPRESENTED_SEQUENCES,READ2_ADAPTER_CONTENT,READ2_KMER_CONTENT,READ1_READ_LENGTH,READ2_READ_LENGTH
TE_S_T,/users/project/4DGenome/sequencing/2015-01-01/fastqc/TE_S_T_10082_CGATGT_read1_fastqc/fastqc_data.txt,0.11.2,1000,75,42,pass,pass,fail,warn,warn,pass,100.0,pass,pass,pass,/users/project/4DGenome/sequencing/2015-01-01/fastqc/TE_S_T_10082_CGATGT_read2_fastqc/fastqc_data.txt,1000,75,43,pass,pass,fail,pass,pass,pass,100.0,pass,pass,pass,75,75
MB_1_5,/users/project/4DGenome/sequencing/*/fastqc/MB_1_5*read1_fastqc/fastqc_data.txt,0.11.2,106384902,,42,pass,pass,fail,pass,pass,pass,86.65340554479835,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_5*read2_fastqc/fastqc_data.txt,106384902,,43,pass,pass,fail,pass,pass,pass,87.72744554012927,pass,pass,fail,75,75
MB_1_7,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_7_10088_AGTCAA_read1_fastqc/fastqc_data.txt,0.11.2,93032404,,42,pass,pass,fail,pass,pass,pass,86.97560400717761,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_7_10088_AGTCAA_read2_fastqc/fastqc_data.txt,93032404,,42,pass,pass,fail,pass,pass,pass,87.72179937639837,pass,pass,fail,75,75
MB_1_8,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_8_10089_AGTTCC_read1_fastqc/fastqc_data.txt,0.11.2,95911607,,42,pass,pass,fail,pass,pass,pass,90.80343034637846,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_8_10089_AGTTCC_read2_fastqc/fastqc_data.txt,95911607,,42,pass,pass,fail,pass,pass,pass,91.88401972847636,pass,pass,fail,75,75
MB_1_3,/users/project/4DGenome/sequencing/*/fastqc/MB_1_3*read1_fastqc/fastqc_data.txt,0.11.2,125171873,,42,pass,pass,fail,pass,pass,pass,87.95241838405713,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_3*read2_fastqc/fastqc_data.txt,125171873,,42,pass,pass,fail,pass,pass,pass,89.01549275656988,pass,pass,fail,75,75
MB_1_6,/users/project/4DGenome/sequencing/*/fastqc/MB_1_6*read1_fastqc/fastqc_data.txt,0.11.2,144372692,,42,pass,pass,fail,pass,pass,pass,86.07245082624068,pass,pass,fail,/users/project/4DGenome/sequencing/2015-04-28/fastqc/MB_1_6_10087_CTTGTA_read2_fastqc/fastqc_data.txt,144372692,,42,pass,pass,fail,pass,pass,pass,86.16437566158541,pass,pass,fail,75,75
MB_1_2,/users/project/4DGenome/sequencing/*/fastqc/MB_1_2*read1_fastqc/fastqc_data.txt,0.11.2,127582190,,42,pass,pass,fail,pass,pass,pass,87.35220855204372,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_2*read2_fastqc/fastqc_data.txt,127582190,,42,pass,pass,fail,pass,pass,pass,87.73694317365425,pass,pass,fail,75,75
MB_1_10,/users/project/4DGenome/sequencing/*/fastqc/MB_1_10*read1_fastqc/fastqc_data.txt,0.11.2,163023587,,42,pass,pass,fail,pass,pass,warn,60.67660190681692,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_10*read2_fastqc/fastqc_data.txt,163023587,,42,pass,pass,fail,pass,pass,warn,61.4572632552656,pass,pass,fail,75,75
MB_1_11,/users/project/4DGenome/sequencing/*/fastqc/MB_1_11*read1_fastqc/fastqc_data.txt,0.11.2,151606472,,41,pass,pass,fail,pass,pass,warn,69.7028606435852,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_11*read2_fastqc/fastqc_data.txt,151606472,,41,pass,pass,fail,pass,pass,pass,70.23992435650074,pass,pass,fail,75,75
MB_1_12,/users/project/4DGenome/sequencing/*/fastqc/MB_1_12*read1_fastqc/fastqc_data.txt,0.11.2,151431425,,42,pass,pass,fail,pass,pass,pass,78.97599226903984,pass,pass,fail,/users/project/4DGenome/sequencing/*/fastqc/MB_1_12*read2_fastqc/fastqc_data.txt,151431425,,42,pass,pass,fail,pass,pass,pass,79.28242438616228,pass,pass,fail,75,75
