Submitter	bases	rel_bases
University of Washington Genome Sciences	2.03584566809e+15	0.168617535435
Broad Institute	1.92155842336e+15	0.159151771973
BI	1.08831388078e+15	0.090138858379
GEO	9.7828713618e+14	0.0810259679483
CompleteGenomics	7.87236499036e+14	0.0652023286207
WUGSC	4.09779964225e+14	0.0339397473597
NYGC	3.9649193274e+14	0.0328391751724
BCM	3.67958209483e+14	0.0304758889137
JGI	2.73281294589e+14	0.0226343377086
SC	2.23583104966e+14	0.0185181188904
BGI	2.15503391185e+14	0.0178489220814
BCCAGSC	1.62634267633e+14	0.0134700728131
NHLBI-phs001123	1.19336940099e+14	0.00988400105236
NCBI	1.11233032063e+14	0.00921280037058
The Wellcome Trust Sanger Institute	9.74323430457e+13	0.00806976767126
TGEN	8.7124692677e+13	0.00721604352677
HAGSC	6.48713343837e+13	0.00537292423272
UM-SPH	6.26360393753e+13	0.00518778744107
WELLCOME TRUST SANGER INSTITUTE	5.35609141879e+13	0.00443614635803
HARVARD MEDICAL SCHOOL, DEPARTMENT OF GENETICS	5.11457483368e+13	0.00423611188594
nci-phs000720	4.92915050254e+13	0.00408253544241
PCGC	4.61115674515e+13	0.00381915927154
UWGS-NWGC	4.41731474111e+13	0.00365861094758
NCBI-TEST	3.42999159289e+13	0.00284086725247
Beijing Genome Institute	3.18620846588e+13	0.00263895553244
STJUDE	3.17850562956e+13	0.00263257571054
UMIGS	2.85671840428e+13	0.00236605762564
GSC	2.79598262551e+13	0.00231575362918
Stanford University	2.5981996159e+13	0.00215194119411
CIDR	2.46582944157e+13	0.00204230649581
Beijing Genomics Institute, Shenzhen	2.34752764442e+13	0.0019443238354
Weill Cornell	2.2184498075e+13	0.00183741599322
CFSAN	1.78262792092e+13	0.00147644947421
Duke University-phs000682	1.75506675472e+13	0.00145362212541
Genome Research Foundation	1.71344694378e+13	0.00141915079953
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL	1.535069866e+13	0.00127141119577
NISC	1.47336937355e+13	0.00122030818174
tgen-phs000749	1.47035119798e+13	0.00121780839831
UCSD	1.39981831188e+13	0.00115939001421
UALG	1.38296442851e+13	0.00114543089972
NIG	1.38193374145e+13	0.00114457724016
BCG-DANVERS	1.36323466068e+13	0.00112908985345
UCLA	1.28005543492e+13	0.00106019722438
Genoscope	1.22209608734e+13	0.00101219278819
BWH	1.2196794595e+13	0.00101019123259
Harvard University	1.16247675175e+13	0.000962813478217
Y-CMG	1.13856510737e+13	0.00094300882108
University of British Columbia	1.12782814143e+13	0.000934116001927
Genentech-BI	1.12608726643e+13	0.000932674134027
University of Louisville	1.06804396874e+13	0.000884600166737
JCVI	1.0651797507e+13	0.000882227897592
NIGMS-phs001050	1.06296652893e+13	0.000880394811683
BI-phs000840	1.01918533213e+13	0.000844133332644
edlb-cdc	9.99694426716e+12	0.000827990122547
MCGILL UNIVERSITY	9.84431856908e+12	0.000815349002713
Maverix Biomics	9.6554480069e+12	0.000799705926614
University of Arizona	9.33270692975e+12	0.000772975115991
CENTRE FOR GEOGENETICS	9.25402061515e+12	0.0007664579754
CAS-MPG Partner Institute for Computational Biolog	9.24990197857e+12	0.000766116852121
NCI-phs001054	8.89106855842e+12	0.000736396717689
University of California, Davis	8.80228236367e+12	0.000729043061382
Weill Cornell Medical College	8.70740847553e+12	0.000721185196001
Seoul National University	8.6703029208e+12	0.000718111953619
MSU-BUELL	8.49954432292e+12	0.000703968988669
NIH/NIAID	8.0428420701e+12	0.000666142934609
IBE(CSIC-Universitat Pompeu Fabra)	7.94215428317e+12	0.000657803537008
University of Washington	7.86357245728e+12	0.000651295050624
SRA	7.84208707854e+12	0.000649515538715
ILLUMINA	7.75108914934e+12	0.000641978697002
NINDS-phs001103	7.70612988097e+12	0.00063825497612
TGAC	7.69781539638e+12	0.000637566334578
Department of Environment and Primary Industries	7.6632630801e+12	0.000634704562438
Duke University-phs000654	7.65759762927e+12	0.000634235325319
Cornell University	7.55438443104e+12	0.000625686762242
University of Minnesota	7.52280795178e+12	0.000623071461782
NCGR	7.42720211386e+12	0.000615152973158
INRA	7.42013455996e+12	0.000614567607804
Yale University School of Medicine	7.23733859632e+12	0.000599427656205
UT-MGS	7.1915996914e+12	0.000595639362455
UT MD Anderson Cancer Center	7.18404148245e+12	0.00059501335893
NCI-MELTZER	6.95740470893e+12	0.000576242322014
University of Missouri	6.86319918996e+12	0.000568439813857
NCI-phs001107	6.7825891974e+12	0.000561763345945
UNIVERSITY AT BUFFALO	6.73514811551e+12	0.000557834070542
NCI-phs001141	6.70800898908e+12	0.000555586290819
MPIMG	6.59264140163e+12	0.000546031048705
Institute for Genome Sciences, University of Maryl	6.5635094642e+12	0.000543618215764
MSKCC	6.52946941842e+12	0.00054079887208
NICHD-phs000337	6.4956021837e+12	0.000537993841355
Universitat Pompeu Fabra	6.47180014477e+12	0.000536022453638
Peking University	6.3479822949e+12	0.000525767324276
PHE	6.31167702214e+12	0.000522760364705
Max Planck Institute for Developmental Biology	6.3057830377e+12	0.000522272199445
Uppsala University	6.29264738914e+12	0.000521184248271
UM-MCTP	6.25325913437e+12	0.000517921942808
University of Toronto	6.24318862545e+12	0.000517087859742
NIMH	6.23516434663e+12	0.000516423254297
Michigan State University	6.18001984666e+12	0.000511855948521
VANCOUVER PROSTATE CENTRE	6.05754450224e+12	0.000501712011262
UWGS-EL	6.02776443304e+12	0.000499245497246
